n, Heap Sort, Insertion Sort, Selection Sort, Merge Sort, Quick Sort
7800.0, 974.0659999999999, 25095.28999999999, 81539.08200000001, 779.2860000000001, 538.5799999999999, 
7900.0, 1065.45, 25856.144, 83965.714, 773.408, 518.822, 
8000.0, 1116.9440000000002, 26628.166000000005, 86142.244, 793.16, 560.534, 
8100.0, 1245.45, 27500.705999999995, 88165.43600000002, 787.9559999999997, 522.8060000000002, 
8200.0, 1025.312, 28065.618, 90333.98799999998, 790.4060000000001, 526.096, 
8300.0, 1089.8780000000002, 29182.192000000003, 92548.30999999997, 846.262, 555.1700000000002, 
8400.0, 1289.9680000000003, 29415.702, 95046.632, 806.88, 553.0440000000002, 
8500.0, 1083.2579999999998, 29529.75200000001, 96951.76200000002, 857.3639999999997, 583.534, 
8600.0, 1358.4180000000001, 30988.536000000007, 99719.50800000003, 853.6499999999999, 586.2099999999999, 
8700.0, 1095.3339999999998, 31398.237999999994, 101634.64199999995, 863.9319999999997, 583.3560000000002, 
8800.0, 1287.7259999999999, 32123.819999999992, 104031.06999999998, 870.1060000000001, 576.5860000000001, 
8900.0, 1177.7179999999998, 33206.549999999996, 106548.12199999997, 910.5240000000001, 590.4060000000001, 
9000.0, 1163.1760000000002, 33415.238, 108850.31199999996, 920.466, 607.376, 
9100.0, 1261.9600000000003, 34818.89000000001, 111335.37, 898.6139999999999, 632.986, 
9200.0, 1259.868, 34669.801999999996, 113611.07, 931.14, 638.622, 
9300.0, 1412.3779999999997, 36166.162000000004, 116071.21199999997, 925.956, 633.6659999999999, 
9400.0, 1288.022, 36852.968, 118465.576, 949.4699999999998, 662.6279999999999, 
9500.0, 1356.2780000000002, 37250.198000000004, 121982.07599999997, 960.3099999999998, 647.214, 
9600.0, 1308.0780000000004, 38263.229999999996, 124143.45999999996, 980.4, 634.9140000000002, 
9700.0, 1246.222, 42099.642, 126255.778, 952.4860000000001, 665.7280000000002, 
9800.0, 1357.1200000000003, 39887.975999999995, 128858.704, 991.8099999999998, 696.7, 
9900.0, 1338.1300000000003, 40392.068000000014, 131670.27600000004, 1023.5580000000003, 709.3759999999997, 
10000.0, 1421.8200000000004, 41400.459999999985, 134899.27799999996, 1017.9979999999999, 678.2039999999998, 
