n, Heap Sort, Insertion Sort, Selection Sort, Merge Sort, Quick Sort
100.0, 27.150000000000006, 65.974, 78.9, 47.25599999999998, 10.136000000000001, 
200.0, 116.85399999999996, 65.54799999999997, 104.096, 21.822000000000003, 82.13, 
300.0, 151.994, 144.03799999999998, 302.83799999999997, 24.096000000000004, 121.37800000000001, 
400.0, 26.10600000000001, 240.55400000000006, 380.756, 34.944, 175.78799999999998, 
500.0, 34.898, 97.044, 352.2019999999999, 44.135999999999996, 190.628, 
600.0, 48.638000000000005, 151.01600000000002, 500.01600000000013, 54.135999999999996, 262.1940000000001, 
700.0, 47.56200000000002, 204.05999999999997, 679.1560000000001, 89.226, 343.6240000000001, 
800.0, 62.28199999999999, 255.17399999999998, 888.9300000000002, 52.74399999999998, 411.888, 
900.0, 67.068, 322.24999999999994, 1128.8559999999995, 55.52399999999998, 23.89999999999999, 
1000.0, 80.16199999999999, 433.5240000000001, 1387.82, 61.754, 28.61200000000001, 
1100.0, 93.80400000000002, 487.37399999999997, 1663.406, 103.13, 35.842000000000006, 
1200.0, 104.30799999999999, 582.2540000000001, 1973.9500000000003, 121.6, 31.769999999999996, 
1300.0, 115.44600000000003, 675.0900000000001, 2292.4820000000004, 128.302, 37.29600000000001, 
1400.0, 128.39399999999995, 734.566, 2709.776, 97.96000000000004, 39.494, 
1500.0, 142.97199999999998, 1016.052, 3049.7839999999997, 113.45399999999998, 44.617999999999995, 
1600.0, 149.084, 969.9359999999999, 3489.396000000001, 121.76199999999997, 47.517999999999994, 
1700.0, 162.148, 1085.7699999999998, 3899.475999999999, 178.30599999999998, 51.621999999999986, 
1800.0, 177.30000000000004, 1269.0400000000002, 4400.744000000001, 202.304, 56.90800000000001, 
1900.0, 194.26199999999994, 1483.2659999999998, 4860.514000000001, 201.31400000000002, 58.11800000000001, 
2000.0, 199.26399999999998, 1510.0880000000002, 5387.7480000000005, 221.34799999999998, 66.22999999999999, 
2100.0, 223.49599999999998, 1861.2640000000001, 5925.272000000001, 242.83, 75.25400000000002, 
2200.0, 222.576, 1853.2859999999991, 6538.583999999999, 249.34600000000003, 79.75800000000001, 
2300.0, 236.21399999999997, 2125.908, 7166.603999999999, 261.374, 100.15400000000001, 
2400.0, 253.35600000000005, 2381.05, 7764.952000000001, 194.88800000000006, 99.604, 
2500.0, 261.096, 2348.7100000000005, 8432.696000000002, 206.87999999999997, 111.00000000000004, 
2600.0, 265.84799999999996, 2562.668, 9105.993999999999, 221.60600000000002, 111.95400000000001, 
2700.0, 282.612, 2891.9840000000004, 9812.522, 227.80799999999996, 125.152, 
2800.0, 294.4779999999999, 2953.216, 10563.471999999998, 236.33200000000005, 142.78599999999997, 
2900.0, 309.1960000000001, 3450.7219999999998, 11310.750000000005, 247.85999999999993, 141.83799999999997, 
3000.0, 319.932, 3402.4380000000006, 12101.723999999997, 292.978, 146.88, 
3100.0, 329.0619999999999, 3725.513999999999, 13067.85, 267.0, 160.55200000000002, 
3200.0, 348.548, 3957.0920000000006, 13871.708, 283.7240000000001, 162.18800000000005, 
3300.0, 377.972, 4299.2919999999995, 14658.093999999997, 285.234, 173.56600000000006, 
3400.0, 376.07800000000003, 4488.183999999999, 15588.183999999992, 297.79599999999994, 184.66800000000006, 
